Clase,Estado,Fecha de solicitud,fecha_atención,Mes,lugar,latitud,longitud,Actividad,comentario,Columna 11,Foto,Responsable,Detalle
Propagación y plantación,,,08/05/2026,mayo,Estudios Generales Ciencias,"-12,0707","-77,0797",Propagación por esquejes,Siembra de sanguinaria,,https://drive.google.com/file/d/1Y73vZJxI1gMDO2w0B6IzsrE6petXRaxh/view?usp=drive_link,responsable,
Propagación y plantación,,,11/05/2026,mayo,Pabellón Z,"-12,0691","-77,0811",Siembra de plantas,Siembra jardineras,,https://drive.google.com/file/d/1t-FnWh1bG0kQMDJn9G7SFsu9XsX-JjUy/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,11/05/2026,mayo,Arquitectura,"-12,0718","-77,0811",Deshierbo,Deshierbo,,https://drive.google.com/file/d/1olo-qetxNBONsWPxbCSza8ll7lj7WiC4/view?usp=sharing,responsable,
Mantenimiento de jardines,,,11/05/2026,mayo,Matemáticas,"-12,0709","-77,0813",Canteo,Canteo jardín,,https://drive.google.com/file/d/1X2vZ12NikiEIxJjJuwXRA_howilAT2gq/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,11/05/2026,mayo,Arte y Diseño,"-12,0671","-77,0783",Canteo,Canteo jardin de baobas,,https://drive.google.com/file/d/1Ujj-u9fQ9slmzw35nmrGqDpVleJV9T0h/view?usp=sharing,responsable,
Poda,,,12/05/2026,mayo,Huaca,"-12,0672","-77,0782",Poda de despeje/reducción,Poda de árbol,,https://drive.google.com/file/d/1HwJJJ9XBMN5e4wtzYrG4-S0f4ONhZRF8/view?usp=sharing,responsable,
Mantenimiento de jardines,,,12/05/2026,mayo,Matemáticas,"-12,0710","-77,0813",Canteo,Canteo y poda Matemáticas,,https://drive.google.com/file/d/1rnGn0aa-9uVI2YJnxIDJ4tVJihvZm3oD/view?usp=sharing,responsable,
Mantenimiento de jardines,,,12/05/2026,mayo,CCSS,"-12,0711","-77,0802",Limpieza integral de jardineras,Arreglo de jardinera y poda CCSS,,https://drive.google.com/file/d/1pv5S5bJq-7PmEoejoy5LCK4varybHdYB/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,13/05/2026,mayo,Psicología,"-12,0682","-77,0804",Resiembra,Resiembra,,https://drive.google.com/file/d/1qbFTnWIL2FkVu9FbUN2N9H-vipwf0oUc/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,13/05/2026,mayo,EEGGLL (Estudios generales Letras),"-12,0672","-77,0801",Resiembra,Resiembra,,https://drive.google.com/file/d/1aPONBUBvjvjwRP-mRuLIZNsEAz1LRqn1/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,13/05/2026,mayo,Arquitectura,"-12,0718","-77,0811",Renovación de jardineras,Arreglo de macizo,,https://drive.google.com/file/d/1kHl_0EyuMi9ENw2ThStITbyKKqlpwshb/view?usp=sharing,responsable,
Propagación y plantación,,,14/05/2026,mayo,Pabellón Z,"-12,0692","-77,0809",Siembra de plantas,Siembra de achira,,https://drive.google.com/file/d/1dKW70QokIcQsPq79hsky_gppwCl8-LGl/view?usp=sharing,responsable,
Habilitación de jardines,,,15/05/2026,mayo,Pabellón Z,"-12,0692","-77,0808",Instalación de césped,Se colocó champa de grass,,https://drive.google.com/file/d/18nRlJtMKcU6riLPpYJ0kh_dnGlxPSBX5/view?usp=sharing,responsable,
Propagación y plantación,,,15/05/2026,mayo,Ing CIVIL,"-12,0716","-77,0814",Siembra de plantas,Sembrado de achira,,https://drive.google.com/file/d/1Nas4Z-ZrAxfm5oLA0GZ4LZIibNp7GEif/view?usp=sharing,responsable,
Mantenimiento de jardines,,,15/05/2026,mayo,Fares,"-12,0654","-77,0783",Limpieza de hojarasca,Barrido de hojas,,https://drive.google.com/file/d/1GU2T3ufmc2wWT50ZAWWMNnanr8satr87/view?usp=sharing,responsable,
Mantenimiento de jardines,,,15/05/2026,mayo,CCSS,"-12,0711","-77,0802",Limpieza integral de jardineras,Macizo,,https://drive.google.com/file/d/1MMlHyZmJSHxvAhJC2eB6nKnf_pUlQ-DR/view?usp=sharing,responsable,
Mantenimiento de jardines,,,18/05/2026,mayo,Fares,"-12,0655","-77,0782",Canteo,Canteo y barrido,,https://drive.google.com/file/d/1jitOKb85UBpEkrgE6Rb4Hn0yEZ5AWOja/view?usp=sharing,responsable,
Mantenimiento de jardines,,,18/05/2026,mayo,Física,"-12,0715","-77,0801",Canteo,Canteo,,https://drive.google.com/file/d/1fbNJ7gxcE7HJc8quwNUYJGoBRJy-gJo3/view?usp=sharing,responsable,
