Clase,Estado,Fecha de solicitud,fecha_atención,Mes,lugar,latitud,longitud,Actividad,comentario,Columna 11,Foto,Responsable,Detalle
Habilitación de jardines,,,04/07/2026,julio,Rivaguero,"-12,0710","-77,0824",Incorporación de sustrato,RETIRO Y RELLENADO DE MACETAS Rivaguero ,,https://drive.google.com/file/d/122334uORTKnGOWjVN_zfCgWxHYsoA9dV/view?usp=sharing,responsable,
Propagación y plantación,,,04/07/2026,julio,Rivaguero,"-12,0715","-77,0826",Plantación en macetas,SEMBRADO DE PENICETUM MACETAS Rivaguero ,,https://drive.google.com/file/d/1ST3OPDvNnTC69lljS3TGCs0DG6zka-kH/view?usp=sharing,responsable,"34 Matas de Penicetum 
34 Macetas
Mano de Obras
34 sacos de 25kg de Tierra de Chacra
"
Propagación y plantación,,,04/07/2026,julio,Minas,"-12,0723","-77,0818",Trasplante,Sacado de Penicetum,,https://drive.google.com/file/d/1JM0NmTEfm8mu-U4JjFvJMT9rd-vUbUx1/view?usp=sharing,responsable,34 Matas de Penicetum
Propagación y plantación,,,06/07/2026,julio,Gelarti,,,Siembra de plantas,Siembra de Congonas,,https://drive.google.com/file/d/1sdRCEjbid9rflhSCBav0ox7i4VRMGXzj/view?usp=sharing,responsable,
Propagación y plantación,,,06/07/2026,julio,Rivaguero,,,Trasplante a macetas,Se sacó 2 cactus de macetas,,https://drive.google.com/file/d/1gME9BVE48Ulw1huJjUKfFzzbLl7-tXqw/view?usp=sharing,responsable,
Propagación y plantación,,,07/07/2026,julio,Rivaguero,,,Plantación en macetas,Siembra de Ichu,,https://drive.google.com/file/d/164dzrGTSa2Zp8mQFuxhJ5gzA_8ScjTZQ/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,08/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de malezas.,,https://drive.google.com/file/d/1nXUEG7coqNPHn2YPATjjGA8WbIORWtTz/view?usp=drive_link,responsable,
Habilitación de jardines,,,11/07/2026,julio,Estudios Generales Ciencias,,,Instalación de césped,Colocación de champa de Grass,,https://drive.google.com/file/d/1fAL5v9lkMrCeTYgkKxczG8GhRRE1jxN9/view?usp=drive_link,responsable,
Habilitación de jardines,,,11/07/2026,julio,Estudios Generales Ciencias,,,Preparación del terreno,Preparado del terreno,,https://drive.google.com/file/d/1zU__fT6ThPWT22b_46jIAKrW9rTd3EUm/view?usp=drive_link,responsable,
Habilitación de jardines,,,11/07/2026,julio,Pabellón Z,,,Instalación de césped,Colocación de champa de Grass,,https://drive.google.com/file/d/1Xh_BL255oIQAzsTZzEQlOkLU5j_Hj3iR/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,11/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de Maleza,,https://drive.google.com/file/d/1xCY_N_l7nsmgJqUmI6kXsVk6Ow5NuVYo/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,13/07/2026,julio,Bosque Seco,,,Limpieza de hojarasca,Barrido de hojarasca,,https://drive.google.com/file/d/1cKpVfHUbZ4VWQoHfXpBmn-xcrj3aHCTl/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,13/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de Maleza,,https://drive.google.com/file/d/1M7OQwaR-ilaORYuonZvOyY5uWvCWrjLj/view?usp=drive_link,responsable,
Rehabilitación y rediseño de jardines,,,13/07/2026,julio,Física,,,Resiembra,Resembrado de Plumbago,,https://drive.google.com/file/d/1MavdbMccxeDeY0WxvXjlo9fDB_ON8wSA/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,13/07/2026,julio,Biblioteca Central,,,Deshierbo,Deshierbo,,https://drive.google.com/file/d/1EugZorKVeScTLWDHiPFcLp1dSqvRmhbE/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,15/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de Maleza,,https://drive.google.com/file/d/11GLbv-YnJzMpGwa28IW_S3yJ1qUoD0ut/view?usp=drive_link,responsable,
Propagación y plantación,,,16/07/2026,julio,Psicología,,,Trasplante,Retiro y trasplante de una planta,,https://drive.google.com/file/d/1DcLoU1pxcx5iJQjSUAXs8cxmrCVaUiCp/view?usp=drive_link,responsable,
,,,16/07/2026,julio,Psicología,,,,Sacado del grass,,https://drive.google.com/file/d/1SCVJNHjyxgZOw7DcVHYj6Qm5LUHApJz1/view?usp=drive_link,responsable,
Habilitación de jardines,,,16/07/2026,julio,Letras y Ciencias Humanas,,,Instalación de césped,Colocación de champa de Grass,,https://drive.google.com/file/d/1Ro-UqgYmyuqmaYyvVO9Npsfe47nW79wX/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,16/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de Maleza,,https://drive.google.com/file/d/1t7Icm1q2PeWoe8WSVPny9lC49SqVYg6o/view?usp=drive_link,responsable,
Propagación y plantación,,,16/07/2026,julio,Biblioteca de Teología,,,Siembra de plantas,Sembrado alternanthera,,https://drive.google.com/file/d/11mbd2wCQNqszJq_YPgZW2HnJ-sO_EzZD/view?usp=drive_link,responsable,
Rehabilitación y rediseño de jardines,,,17/07/2026,julio,Biblioteca de Teología,,,Renovación de jardineras,Arreglo de macizos,,https://drive.google.com/file/d/16Kmo3mBVTBfueQKuFSpJJtSSczQd7sj7/view?usp=drive_link,responsable,
Riego,,,18/07/2026,julio,Rivaguero,,,Riego manual,Riego de poncianas,,https://drive.google.com/file/d/14xQHl4PSVuF-0OtGdMN915wvhFcMvSIV/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,18/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de Maleza,,https://drive.google.com/file/d/1rrFUliN2lcYBiP9r8HNkzQhtn4jQqgKr/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,20/07/2026,julio,Industrial,,,Limpieza integral de jardineras,Limpieza de jardinera,,https://drive.google.com/file/d/15TBgaiDceXknlcW7TLoBHr4yrQ23IJ20/view?usp=drive_link,responsable,
Propagación y plantación,,,21/07/2026,julio,Química,,,Trasplante,Traslado de crotos,,https://drive.google.com/file/d/1gHL_cLnB3e-82p1sZY_TGbPkomFszlQP/view?usp=sharing,responsable,
Propagación y plantación,,,21/07/2026,julio,Fares,,,Siembra de plantas,Siembra de Crotos trasladados,,https://drive.google.com/file/d/1wKfmCIaIUl-UkL2OvCHGFQlR7FaiW8Lb/view?usp=drive_link,responsable,
Propagación y plantación,,,21/07/2026,julio,Fares,,,Siembra de plantas,Siembra de lantana,,https://drive.google.com/file/d/1eMFm6dvL52Y37IoY0nWnKKoQmbp54ycz/view?usp=drive_link,responsable,
Habilitación de jardines,,,21/07/2026,julio,CEPREPUC,,,Preparación del terreno,Enparejado de sanja,,https://drive.google.com/file/d/1m5Wg-zZBvSzG-ulsnNO9mYAAN5wlrDrR/view?usp=drive_link,responsable,
Propagación y plantación,,,21/07/2026,julio,Industrial,,,Siembra de plantas,Siembra de liriopes,,https://drive.google.com/file/d/1lUU2yUrByO7kk_59q0uVyE3YBiAcZ7vz/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,22/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de Maleza,,https://drive.google.com/file/d/1tIGqXmr46Gf2va96pgvDzrw7nLhhv6f-/view?usp=drive_link,responsable,
Propagación y plantación,,,22/07/2026,julio,Mac Gregor,,,Trasplante,Trasnplante de palmera,,https://drive.google.com/file/d/16fQoJVbISdIGHgke7c8daAGJbmKv1Ko-/view?usp=drive_link,responsable,
Poda,,,22/07/2026,julio,Apoyo Rural,,,Poda de despeje/reducción,Poda de laureles,,https://drive.google.com/file/d/1YGZdeypGsM9OT9c7KBfYJ7ermFgORqBF/view?usp=drive_link,responsable,
Riego,,,24/07/2026,julio,Rivaguero,,,Riego manual,Regado de macetas,,https://drive.google.com/file/d/15j0GJ0v6npIfohI4-YT_gDT9wWYxWJam/view?usp=drive_link,responsable,
Riego,,,30/07/2026,julio,Fares,,,Riego nocturno,Riego nocturno en FARES,,https://drive.google.com/file/d/1C7G0WsF9X1V-dYjeXm9oXHRc2RHNgODq/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,31/07/2026,julio,Psicología,,,Limpieza de hojarasca,Barrido de hojarasca,,https://drive.google.com/file/d/17TMYnQpRBFe8XkXL0sOCZtLqOHTMN1dZ/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,31/07/2026,julio,Letras y Ciencias Humanas,,,Limpieza de hojarasca,Barrido de hojarasca,,https://drive.google.com/file/d/1nrzAf7-fw4Q39ZaK2KY3CEdd41srheKs/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,31/07/2026,julio,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de Maleza,,https://drive.google.com/file/d/1TM4--bNTDZ5P80pvLlwYB-zQaO6SvpSQ/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,01/08/2026,agosto,Centenario,,,Canteo,Canteo,,https://drive.google.com/file/d/1Y7-9CJZLaY1XJG9oRZUSFvkqEUy62tay/view?usp=drive_link,responsable,
Habilitación de jardines,,,07/08/2026,agosto,puerta principal.,,,Preparación del terreno,Preparación del suelo para la instalación de cesped,,https://drive.google.com/file/d/1uRR9hDWi3tW4QZBVZGiSvkMcnigHX6hC/view?usp=drive_link,responsable,
Habilitación de jardines,,,07/08/2026,agosto,puerta principal.,,,Instalación de césped,Instalación de cesped,,https://drive.google.com/file/d/1anpk3MvDMI6Wsi5QAzglmxSbDfGVqx0w/view?usp=drive_link,responsable,
Habilitación de jardines,,,07/08/2026,agosto,CEPREPUC,,,Instalación de césped,Instalación de cesped,,https://drive.google.com/file/d/1ErGniqs2ZvQer7kTLZalgGM3TpGTWEyk/view?usp=drive_link,responsable,
Riego,,,07/08/2026,agosto,CEPREPUC,,,Riego manual,Riego luego de la instalación de cesped,,https://drive.google.com/file/d/1PyX1fAv6b_ZKd-FOVD7-6BBF53NCcg2J/view?usp=drive_link,responsable,
Riego,,,07/08/2026,agosto,Matemáticas,,,Riego nocturno,Riego nocturno entre matemática y arquitectura,,https://drive.google.com/file/d/1InmNSxqDqld8eF5ueT-WgvlCnr0Gz-lk/view?usp=drive_link,responsable,
Propagación y plantación,,,07/08/2026,agosto,Rivaguero,,,Plantación en macetas,Plantación de Ichus,,https://drive.google.com/file/d/1Y7bX1GVxZvpabn6uK70PAng8MH5W4Aw_/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,08/08/2026,agosto,OCAI,,,Limpieza integral de jardineras,Limpieza de macizos,,https://drive.google.com/file/d/1mfFO-joC8GU4cSgHF09fFcdkyUEiTVB5/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,08/08/2026,agosto,Arquitectura,,,Canteo,Canteo en la plazuela,,https://drive.google.com/file/d/1ip78uZVriujqgJ_jbahWTy97lC_2nEVl/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,08/08/2026,agosto,OCAI,,,Deshierbo,Deshierbo de jardin,,https://drive.google.com/file/d/1-yD5oEQeH_kCsqUhZ27RZESwltY3z1nm/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,08/08/2026,agosto,Comedor Central,,,Deshierbo,Deshierbo,,https://drive.google.com/file/d/1BRDkISAc3pZdvKzX_iFJszo8pxUSZ65X/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,08/08/2026,agosto,Matemáticas,,,Canteo,Canteo y deshierbo,,https://drive.google.com/file/d/1vSMkr5k-DRR_xkffwDUlf-GwS6MdDgI5/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,08/08/2026,agosto,Punto de Acopio,,,Deshierbo,Canteo y mantenimiento,,https://drive.google.com/file/d/1bnQ0XT4nn6tzJT8I2Hhit7glXYxO8Dle/view?usp=drive_link,responsable,
Habilitación de jardines,,,10/08/2026,agosto,Jardin Central,,,Preparación del terreno,Preparación de terreno,,https://drive.google.com/file/d/1WJLJUZpCBJMoUbeD3HRIuGwO1mGOES0T/view?usp=drive_link,responsable,
Riego,,,10/08/2026,agosto,Arquitectura,,,Riego nocturno,Riego nocturno,,https://drive.google.com/file/d/1LgnXMSBjzZu66ZXoDVySsiccZ7wiDewS/view?usp=drive_link,responsable,
Habilitación de jardines,,,12/08/2026,agosto,Jardin Central,,,Instalación de plantas,Instalación de senecio y duranta,,https://drive.google.com/file/d/141_4rLtasjJ9e5xXzK-wRB6lzt5k-Ucf/view?usp=drive_link,responsable,
Rehabilitación y rediseño de jardines,,,13/08/2026,agosto,Química,,,Renovación de cobertura ornamental,Se sacó lantana y Granada de cerco,,https://drive.google.com/file/d/1BLD_ZmKW9zsjEix5N-_EuVYmN1N1w141/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,13/08/2026,agosto,INRAS,,,Canteo,Canteo,,https://drive.google.com/file/d/1Lh38r482PjsQl08KyKw3uInkmYxZj_vI/view?usp=drive_link,responsable,
Habilitación de jardines,,,14/08/2026,agosto,El puesto,,,Instalación de plantas,Siembra de congona y lengua de suegra,,https://drive.google.com/file/d/13Gx6nl7zwcAJ34LaM9_c0M2J6fTEQhk1/view?usp=drive_link,responsable,
Habilitación de jardines,,,14/08/2026,agosto,El puesto,,,Instalación de plantas,Siembra de ave de paraiso y taro de rata,,https://drive.google.com/file/d/1Z1iDXR9zrt9Y7A-oZVGENLsqR1dMLy-u/view?usp=drive_link,responsable,
Habilitación de jardines,,,14/08/2026,agosto,El puesto,,,Colocación de cobertura ornamental,colocación de piedra de granito,,https://drive.google.com/file/d/1pFc9OTa0gmt0x9dX5kvFvXljJCS8-icx/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,17/08/2026,agosto,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Se trasladó maleza,,https://drive.google.com/file/d/1IrN2DAF1P0HyY1zC7bMwf-fJyO8kC4_g/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,17/08/2026,agosto,Mac Gregor,,,Deshierbo,Deshierbo,,https://drive.google.com/file/d/1pluhEVdo0caA6c4j854T5SOAKpIFbUTh/view?usp=drive_link,responsable,
Poda,,,18/08/2026,agosto,Ing CIVIL,,,Poda de mantenimiento,Poda de lantana,,https://drive.google.com/file/d/1SQTPYVMeEXyM7MWW2vfm4qt4lSYomurD/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,18/08/2026,agosto,Polideportivo,,,Canteo,Canteo,,https://drive.google.com/file/d/17JEQ8Y7onYUygPUXaW2FPOHznPvm6HSz/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,18/08/2026,agosto,Mac Gregor,,,Canteo,Canteo,,https://drive.google.com/file/d/1TMK1jVaejQiL9xvTx9sFW9IdgWjhvaX2/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,19/08/2026,agosto,Jardin Central,,,Canteo,Canteo y poda,,https://drive.google.com/file/d/1Fdll3KFdwGvUkN7N7BU--4F_Yg3DSIF3/view?usp=drive_link,responsable,
Rehabilitación y rediseño de jardines,,,19/08/2026,agosto,Rivaguero,,,Renovación de cobertura ornamental,Se cambió Ichu en algunas macetas,,https://drive.google.com/file/d/1UIMkkanH_GjImjUbQeWfyWTFtcZIz8Wo/view?usp=drive_link,responsable,
Manejo de residuos vegetales,,,19/08/2026,agosto,Punto de Acopio,,,Disposición o aprovechamiento de residuos,Traslado de maleza,,https://drive.google.com/file/d/1pV3NRnzXK9gemFTSHA9_DDmHmP0F5XXW/view?usp=drive_link,responsable,
Propagación y plantación,,,19/08/2026,agosto,Minas,,,Siembra de plantas,Siembra de Ichu,,https://drive.google.com/file/d/1qnb3oRu_lqyh7s1qI4uNXlcxTgHmprIc/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,20/08/2026,agosto,Cactario,,,Deshierbo,Deshierbo,,https://drive.google.com/file/d/1-CSRAVVvnrxuXA32sExLgaWj3vj6Hh_u/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,20/08/2026,agosto,Bosque Seco,,,Canteo,Canteo y Barrido,,https://drive.google.com/file/d/1gul4OXgjJiw89yPQOByLaH7XR5joM2Jc/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,20/08/2026,agosto,Minas,,,Deshierbo,Deshierbo,,https://drive.google.com/file/d/1t5YfH-X2Z-3-zrf2wtJMpjxBUF3ODN9N/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,20/08/2026,agosto,Arquitectura,,,Canteo,Canteo y poda,,https://drive.google.com/file/d/1dbIlr-ZngV4caWAVKAg5yMuHQWkhI0C7/view?usp=drive_link,responsable,
Riego,,,20/08/2026,agosto,Arquitectura,,,Riego nocturno,Riego nocturno 3 aspersores,,https://drive.google.com/file/d/1g6pB1g6r-71z5ne0DEL_rqu6n8LZoYUR/view?usp=drive_link,responsable,
Propagación y plantación,,,21/08/2026,agosto,Laboratorios,,,Siembra de plantas,Sembrado de  3 crotos,,https://drive.google.com/file/d/1X5xnJT4Q2gAm8iv2DpbFE5xE3BfIqfpY/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,22/08/2026,agosto,OCAI,,,Limpieza integral de jardineras,"Después de un breve riego matutino, limpieza de macizos (OCAI )",,https://drive.google.com/file/d/1Pr5BvIYGNwaSmEF0khJkIi4jWpGfoWKp/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,22/08/2026,agosto,Jardin Central,,,Deshierbo,Deshierbo de la estrella,,https://drive.google.com/file/d/1OvOQI_ij7Gd8STFKYcJLRrozprd8_mlN/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,24/08/2026,agosto,Arquitectura,,,Limpieza de hojarasca,Barrido de hojarasca,,https://drive.google.com/file/d/15YNZ4pLysJ5pp9KbxLyTP6O6MfuXaDnj/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,24/08/2026,agosto,EEGGLL (Estudios generales Letras),,,Canteo,Mantenimiento de EEGGLL,,https://drive.google.com/file/d/1mu42UEZIglnKnYutSOJPSydPigmIz0WI/view?usp=drive_link,responsable,
Propagación y plantación,,,27/08/2026,agosto,Estudios Generales Ciencias,,,Siembra de plantas,Sembrado de santolin y sanguinaria,,https://drive.google.com/file/d/1R8dlRQyVxgDyphtwsGXWivvdWM10ojzp/view?usp=drive_link,responsable,
Propagación y plantación,,,27/08/2026,agosto,Ing CIVIL,,,Siembra de plantas,Siembra de Ponceana,,https://drive.google.com/file/d/1oQWaKfWifjGrqPpPMU2yyiF-jjEOvu-A/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,27/08/2026,agosto,Estudio tv2,,,Limpieza de hojarasca,Barrido de Hojarasca,,https://drive.google.com/file/d/1lnpKwyZ7fbbkWvldel_NYB3CYI3goOJr/view?usp=drive_link,responsable,
Riego,,,27/08/2026,agosto,Fares,,,Riego nocturno,Riego nocturno,,https://drive.google.com/file/d/1MIn4h9t3rARYz8kPwgTMnIbWrjc0CmCl/view?usp=drive_link,responsable,
Mantenimiento de jardines,,,29/08/2026,agosto,EEGGLL (Estudios generales Letras),,,Canteo,Poda y canteo,,https://drive.google.com/file/d/12TmHjP_VARR5zOxUydmbIcZNSzVvPxsS/view?usp=drive_link,responsable,
,,,,diciembre,,,,,,,,,
,,,,diciembre,,,,,,,,,
