,ID,Latitude,Longitude,Note,No Aprovechables,Papel y Cartón,Plástico,Vidrio,Pilas,Peligrosos,RAEE,Metales,Aniquem,Intermedios Plastico,Intermedios Metal,Foto,Espacios,Lugar,Accion,Tacho Actual,Tacho Nuevo,Recomendaciones,GOOGLE MAPS
158,PT_BI 2 verde arte antiguo ,"-12,070303","-77,078795",,1,1,1,,,,,,,,,https://drive.google.com/file/d/1L-0QUfj6XU_KNySi0h2hUv4fmZIkh07K/view?usp=drive_link,Arte Antiguo,Pasadizo Arte antiguo,,,,-,Ver en Google Maps
159,PT_BIL 1,"-12,067600","-77,080408",,1,,1,1,,,,,,,,https://drive.google.com/file/d/1zvot_z9O21e8EJbkflIalSGIKBYUeGwg/view?usp=sharing,Estudios Generales letras,Primer piso,,,,,Ver en Google Maps
160,PT_BIL 2,"-12,067340","-77,080303",,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1waVi0TmbgI0jfj6DTPPBI6twbwfRcJYF/view?usp=sharing,Estudios Generales letras,Segundo piso,,,,,Ver en Google Maps
161,PT_BIL 3,"-12,067483","-77,080311",,1,,1,1,,,,,,,,https://drive.google.com/file/d/1gOShCnUkYzYisxN-aVFzJ2T2EnqGuq7u/view?usp=sharing,Estudios Generales letras,segundo piso,,,,,Ver en Google Maps
162,PT_BIL 5,"-12,067794","-77,080345",,1,,1,1,,,,,,,,https://drive.google.com/file/d/152X0EzMOPlOCh4-xsqmXH7PDogQUaiMd/view?usp=sharing,Estudios Generales letras,Segundo piso,,,,,Ver en Google Maps
163,PT_BIL 6 PISO 2,"-12,067686","-77,080047",,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1hW42f9h7-lZHkUdb8a_a9Tmx7jBIzUxb/view?usp=sharing,Estudios Generales letras,Segundo piso,,,,,Ver en Google Maps
164,PT_BIL  7 piso 3,"-12,067686","-77,080047",,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1-2cZn55fOvBdkqUrZG3dfZvIRfHot30e/view?usp=sharing,Estudios Generales letras,Tercer piso,,,,,Ver en Google Maps
165,PT_BIL 10,"-12,067752","-77,080310",,1,,1,1,,,,,,,,https://drive.google.com/file/d/1DzlrJyxs60xNwXUvt0XnpDAk_PyrTdfl/view?usp=drive_link,Estudios Generales letras,Tercer piso,,,,,Ver en Google Maps
166,PT_BIL 13,"-12,067339","-77,080155",,,1,1,1,,,,,,,,,Estudios Generales letras,Tercer piso,,,,,Ver en Google Maps
167,PT_BIL 14,"-12,067341","-77,080138",,1,1,1,,,,,,,,,https://drive.google.com/file/d/1UK4aGdshOZDe1L5GvV4F-YSdL4y0_7T6/view?usp=sharing,Estudios Generales letras,Primer piso,,,,,Ver en Google Maps
168,PT_BIL15,"-12,067590","-77,079910",,,,,1,,,,,,,,https://drive.google.com/file/d/1US7mfCnyivT77HnVC4cIl_f77TYnSxi0/view?usp=drive_link,Estudios Generales letras,Cuarto piso,,,,,Ver en Google Maps
169,PT_BIL 16,"-12,067400","-77,080080",,1,,,,,,,,,,,https://drive.google.com/file/d/1nwmxmmTwKlzHggfPsP1NwWqP6rfAKJc7/view?usp=drive_link,Estudios Generales letras,Cuarto piso,,,,,Ver en Google Maps
170,PT_BIL 17,"-12,067636","-77,080040",,1,2,,,,,,,,,,https://drive.google.com/file/d/1a4am2rg_Ps5K-Pi8K5elP-qFTobEuJKr/view?usp=drive_link,Estudios Generales letras,Cuarto piso,,,,,Ver en Google Maps
171,PT_BIL 18,"-12,067590","-77,079920",,1,,,1,,,,,,,,https://drive.google.com/file/d/174JrgLY3hvp659Q79QpWstBnf04E-KU2/view?usp=drive_link,Estudios Generales letras,Cuarto piso,,,,,Ver en Google Maps
172,PT_BIL 19,"-12,067360","-77,079910",,1,2,,,,,,,,,,https://drive.google.com/file/d/1QxbVvJy-FnRvTMH0Kq50qM8R0lUZXzzU/view?usp=drive_link,Estudios Generales letras,Cuarto piso,,,,,Ver en Google Maps
173,PT_BIL 20,"-12,067733","-77,080004",,,,,1,,,,,,,,https://drive.google.com/file/d/1JY7fWqsAjQCujbUSLSsaF7ZqNsDLtefx/view?usp=drive_link,Estudios Generales letras,Cuarto piso,,,,,Ver en Google Maps
174,PT_BIL 21,"-12,067729","-77,080031",,,,,1,,,,,,,,https://drive.google.com/file/d/1TX0X6q_Xh2T4Nvvc6VYhmNb2iLWG5Agm/view?usp=drive_link,Estudios Generales letras,Cuarto piso,Cambiar Tacho,Vidrio,Generales,cambiar de vidrio a no aprovechable,Ver en Google Maps
175,PT_BIL 22,"-12,067740","-77,080110",,,,,1,,,,,,,,https://drive.google.com/file/d/1p9cK64vdN2yXlcXY_lwqTJfqsPo0XGcw/view?usp=drive_link,Estudios Generales letras,Cuarto piso,Cambiar Tacho,Vidrio,Generales,cambiar de vidrio a no aprovechable,Ver en Google Maps
176,PT_BIL 23,"-12,067750","-77,080090",,,1,,,,,,,,,,https://drive.google.com/file/d/1JHzP9wxVMvbC2QbJP8XahJeWLzHRIsHN/view?usp=drive_link,Estudios Generales letras,Cuarto piso,,,,,Ver en Google Maps
177,PT_BIC 1,"-12,071090","-77,079357",,1,,1,1,,,,,,,,https://drive.google.com/file/d/1_0zK_E3wmB6LjHTLbSrJtrbUXJyeE2bZ/view?usp=sharing,Estudios Generales Ciencias,primer piso,,,,,Ver en Google Maps
178,PT_BIC 2,"-12,071016","-77,079481",,1,,1,1,,,,,,,,https://drive.google.com/file/d/1C9ityUxFzyqqGftI0bGnd9-PWwVmB2W0/view?usp=sharing,Estudios Generales Ciencias,segundo piso,,,,,Ver en Google Maps
179,PT_BIC 4,"-12,070979","-77,079477",,1,,1,1,,,,,,,,https://drive.google.com/file/d/1RW0bOE--6iHIIXVZsTbTEhTYGskXdJq5/view?usp=drive_link,Estudios Generales Ciencias,tercer piso,,,,,Ver en Google Maps
180,PT_BIC 5,"-12,070856","-77,079129",,,,1,,,,,,,,,https://drive.google.com/file/d/1J_4tMpCoYPFet9d2TsY9s2BwDMh3CGDk/view?usp=sharing,Estudios Generales Ciencias,,,,,-,Ver en Google Maps
181,PT_BIAN 8,"-12,066946","-77,078634",,,,,,,,,,1,,,https://drive.google.com/file/d/106QKVThxzXbaICx4or-wXUq3A7saVjUL/view?usp=sharing,Arte Nuevo,primer piso,,,,,Ver en Google Maps
182,PT_BIAN 13,"-12,066949","-77,079247",,1,,,,,,,,,,,https://drive.google.com/file/d/1mQzlgLW2XxR5jMCdwdVtHTl3C3L_X4Fi/view?usp=sharing,Arte Nuevo,,,,,-,Ver en Google Maps
183,PT_B133,"-12,070620","-77,079910",,1,,1,,,,,,,,,,,entre sociales y comedor de arte,,,,,Ver en Google Maps
184,PT_a16,"-12,070960","-77,078530",,,,,,,,,,1,,,,,,,,,,Ver en Google Maps
185,PT_B134,"-12,066680","-77,079870",,1,,,,,,,,,,,https://drive.google.com/file/d/1g7-HMlUH9VhuPbyc5SolbpFJTy25EnE3/view?usp=drive_link,,Polideportivo,,,,,Ver en Google Maps
,,,,,147,71,130,121,28,0,6,1,19,13,2,538,,,,,,,
