,,,,,,,,,,,,,,,,,
N°,Nombre del lugar de los arboles,Coordenadas geográficas,,Coordenadas UTM,,Nombre común,Nombre científico,Arbol,Palmera,Arbusto,Medidas,,,,Actual,Foto,LINK
,,Latitud ,Longitud,Norte,Este,,,,,,altura (m),altura del fuste,DAP(cm),Radio (m),Zunchado,,
27,Arqueología,"-12,067338","-77,080831",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c27.jpeg,https://drive.google.com/file/d/19cEFnnVvnWqWajadhqtSF2a9IAUb2BFU/view?usp=sharing
28,Arqueología,"-12,067344","-77,080837",,,Cafeto,Coffea arabica,,,1,,,,,No,c28.jpeg,https://drive.google.com/file/d/1tvokz_8qxB8V6r_HnPkEOI1tdlIkLYkt/view?usp=sharing
29,Arqueología,"-12,067346","-77,080839",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c29.jpeg,https://drive.google.com/file/d/11T7JEkuG9xW6CsTiw6qTgeZRgs45ZdAM/view?usp=sharing
30,Arqueología,"-12,067351","-77,080855",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c30.jpeg,https://drive.google.com/file/d/1_5GDV6fKsIXwl29xQGWzONuP3G8a_7yB/view?usp=sharing
31,Arqueología,"-12,067345","-77,080868",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c31.jpeg,https://drive.google.com/file/d/14gLSnpEzcaQVDUZEXGDF-Jh2WkhIouKD/view?usp=sharing
32,Arqueología,"-12,067345","-77,080871",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c32.jpeg,https://drive.google.com/file/d/1qkD14BQSP3R4GoekJW_aj0L4bdD7iGDd/view?usp=sharing
33,Arqueología,"-12,067344","-77,080891",,,Cafeto,Coffea arabica,,,1,,,,,No,c33.jpeg,https://drive.google.com/file/d/1oCtb7B492O_LcycxtpdrCEQpJOh-ox72/view?usp=sharing
34,Arqueología,"-12,067343","-77,080898",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c34.jpeg,https://drive.google.com/file/d/15Z4YQL7b6NdRpmODPArhPFpP_thTMHMO/view?usp=sharing
35,Arqueología,"-12,067342","-77,080907",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c35.jpeg,https://drive.google.com/file/d/1fsEGWsb-IeWfSwn1r8qlhPFQGn57yadH/view?usp=sharing
36,Arqueología,"-12,067343","-77,080913",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c36.jpeg,https://drive.google.com/file/d/1lawtkK3hY-wm4UdUt1xM1iMja7Q1-L-0/view?usp=sharing
37,Arqueología,"-12,067337","-77,080951",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c37.jpeg,https://drive.google.com/file/d/1l1vS4x1dqs7vrr7ThnBr13zDcDDni9HL/view?usp=sharing
38,Arqueología,"-12,067339","-77,081016",,,Cafeto,Coffea arabica,,,1,,,,,No,c38.jpeg,https://drive.google.com/file/d/1XL7TRXdYjRdYSJhsRIPTSnkVghfGs2DX/view?usp=sharing
39,Arqueología,"-12,067338","-77,081092",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c39.jpeg,https://drive.google.com/file/d/1VlLGS9drt4Qu9mX22SNn_cQm1hImkHVn/view?usp=sharing
40,Arqueología,"-12,067341","-77,081105",,,Cafeto,Coffea arabica,,,1,,,,,No,c40.jpeg,https://drive.google.com/file/d/1tyQVaNR-gxkqnsRT-HvmLY5oUQsqz8V1/view?usp=sharing
