,,,,,,,,,,,,,,,,,
N°,Nombre del lugar de los arboles,Coordenadas geográficas,,Coordenadas UTM,,Nombre común,Nombre científico,Arbol,Palmera,Arbusto,Medidas,,,,Actual,Foto,LINK
,,Latitud ,Longitud,Norte,Este,,,,,,altura (m),altura del fuste,DAP(cm),Radio (m),Zunchado,,
23,Mac Gregor ,"-12,0686440","-77,0790760","8664996,985","273685,441",Palmera bruja,Syagrus romanzoffiana,,1,,"7,00","5,5",89,"2,9",No,p23.jpeg,https://drive.google.com/file/d/1QiJLsjG-jTJ00Bn9ddRBD4zbwJvVD3JP/view?usp=sharing
24,Mac Gregor ,"-12,0685910","-77,0790810","8665002,911","273684,841",Palmera bruja,Syagrus romanzoffiana,,1,,"7,00","5,5",94,"3,2",No,p24.jpeg,https://drive.google.com/file/d/1Edql088Kd0z1xEhlp3jypWyFfDg05j4P/view?usp=sharing
25,Mac Gregor ,"-12,0685680","-77,0791240","8665005,399","273680,215",Palmera bruja,Syagrus romanzoffiana,,1,,"7,00","5,5",77,"3,1",No,p25.jpeg,https://drive.google.com/file/d/1SOiX7ybKBKThGG69d1cCL_86FCtw8Fin/view?usp=sharing
26,Estudio tv2,"-12,0686960","-77,0813010","8664989,414","273443,220",Palmera Real,Roystonea regia,,1,,"8,00","6,5",64,"2,1",Sí,p26.jpeg,https://drive.google.com/file/d/1d5pEYXujOC_8V9XQA4kOdGB7vOlnw6oW/view?usp=sharing
27,Pabellón Z,"-12,0687330","-77,0812780","8664985,416","273445,734",Palmera Real,Roystonea regia,,1,,"9,50",8,71,"2,6",Sí,p27.jpeg,https://drive.google.com/file/d/1xFDuyBHQzKj7RyTBKRsgldZ7nu0PFlcR/view?usp=sharing
28,Pabellón Z,"-12,0688200","-77,0813010","8664975,705","273443,325",Palmera Real,Roystonea regia,,1,,"9,40",8,69,"2,7",No,p28.jpeg,https://drive.google.com/file/d/1j8I5ubNLfThS6ETj3TlDy3QrZS2QhMmo/view?usp=sharing
29,Pabellón Z,"-12,0688480","-77,0813040","8664972,593","273442,978",Palmera Real,Roystonea regia,,1,,"7,80","6,3",69,"2,6",Sí,p29.jpeg,https://drive.google.com/file/d/10VZfuRs_EQSg3bUF_XbXTEHg5amHkbS6/view?usp=sharing
30,Pabellón Z,"-12,0689060","-77,0812870","8664974,074","273416,579",Palmera Real,Roystonea regia,,1,,"8,00","6,5",62,"2,2",Sí,p30.jpeg,https://drive.google.com/file/d/1HnrAYR7TJCVe1zjGEoCf3g6hoIHyJF-A/view?usp=sharing
31,Pabellón Z,"-12,0689850","-77,0813710","8664971,076","273429,758",Palmera Real,Roystonea regia,,1,,"8,00","6,5",62,"2,3",Sí,p31.jpeg,https://drive.google.com/file/d/1HKL7eFYyjVsg-wY9Bfc-JDIBMDFyeUNv/view?usp=sharing
32,Pabellón Z,"-12,0690430","-77,0813920","8664961,410","273427,479",Palmera Real,Roystonea regia,,1,,"7,50",6,60,"2,4",Sí,p32.jpeg,https://drive.google.com/file/d/1AGLl1WXCO9YhuheMmaPeqPZEqJ3OiKg7/view?usp=sharing
33,Pabellón Z,"-12,0690780","-77,0813980","8664954,707","273432,180",Palmera Real,Roystonea regia,,1,,"7,50",6,59,"2,3",No,p33.jpeg,https://drive.google.com/file/d/1ip-pAalb_JWUYa83hLeUZh0PJX0FU07Q/view?usp=sharing
34,Pabellón H,"-12,0691800","-77,0813930","8664935,774","273433,576",Palmera Real,Roystonea regia,,1,,"7,50",6,52,"2,3",Sí,p34.jpeg,https://drive.google.com/file/d/1-nHjYwG5W7QdLaJUnsFXUktWxKajikxH/view?usp=sharing
35,Pabellón H,"-12,0691660","-77,0813710","8664937,374","273435,971",Palmera Real,Roystonea regia,,1,,"7,00","5,5",53,"2,4",Sí,p35.jpeg,https://drive.google.com/file/d/1DZAXhP132AMrxsyeDdRo2MIBuOu1l9zR/view?usp=sharing
36,Pabellón H,"-12,0691760","-77,0813760","8664936,264","273435,467",Palmera Real,Roystonea regia,,1,,"7,20","5,5",52,"2,4",Sí,p36.jpeg,https://drive.google.com/file/d/1XvdpQHPs1I-r6Fm9iHsln1sQyS8IfoWZ/view?usp=sharing
37,Pabellón H,"-12,0693010","-77,0812950","8664922,489","273444,393",Palmera Real,Roystonea regia,,1,,"9,00","7,5",127,"3,5",Sí,p37.jpeg,https://drive.google.com/file/d/1XRnP58xO8cG6xhiG5r4pZ-wGZCjN5N3L/view?usp=sharing
38,Pabellón H,"-12,0693400","-77,0812560","8664918,195","273448,673",Palmera Real,Roystonea regia,,1,,"9,50",8,150,"3,1",No,p38.jpeg,https://drive.google.com/file/d/1kHPptErKKnmOO32TaGl77v5UfnkBCxde/view?usp=sharing
39,Pabellón H,"-12,0693840","-77,0811700","8664913,420","273458,032",Palmera Real,Roystonea regia,,1,,"10,00","8,5",1722,"4,5",Sí,p39.jpeg,https://drive.google.com/file/d/1FAIGytw30PVn6xl9wFIcZCkbgr3gA8js/view?usp=sharing
40,Pabellón Z,"-12,0693380","-77,0806040","8664919,022","273519,705",Palmera Real,Roystonea regia,,1,,"8,00","6,5",162,"3,5",No,p40.jpeg,https://drive.google.com/file/d/1iQil8q7Qdcqn2zhKau2UGDfhFQWfh1da/view?usp=sharing
41,Biblioteca Central,"-12,0696090","-77,0806360","8664888,956","273516,459",Palmera Real,Roystonea regia,,1,,"7,50",6,141,"4,2",No,p41.jpeg,https://drive.google.com/file/d/1TL7e2umgEy4b1SE_G2NpNkJVDtMSYoYq/view?usp=sharing
42,Biblioteca de Teología,"-12,0695830","-77,0806940","8664891,795","273510,067",Palmera Real,Roystonea regia,,1,,"8,00","6,5",188,"4,3",No,p42.jpeg,https://drive.google.com/file/d/1aaeVXkroPi7iNwNA5QTp89X70b9iUGMZ/view?usp=sharing
43,Mecánica,"-12,072153","-77,080837","8664607,329","273496,644",Palmera de la jalea ,Butia capitata,,1,,"4,70","2,7",230,"2,4",No,p43.jpeg,https://drive.google.com/file/d/1HNoxEAI1SU-afqqq41_d4zQpyynAixme/view?usp=sharing
44,Mecánica,"-12,072199","-77,080838","8664602,260","273496,541",Palma de guano,Sabal palmetto,,1,,"5,20","4,7",52,"1,4",No,p44.jpeg,https://drive.google.com/file/d/1n4T_W1wRmIeV-7_AWbO5hhObrpc7tkU6/view?usp=sharing
45,Mecánica,"-12,072237","-77,080835","8664598,048","273496,987",Palmera Canaria ,Phoenix canariensis,,1,,"7,50","2,5",212,"3,9",No,p45.jpeg,https://drive.google.com/file/d/1hsaJyswQ9tVX9SGHQl4lSB2Rn_NnQDt0/view?usp=sharing
46,Mecánica,"-12,072245","-77,080862","8664597,162","273494,031",Palmera de abánico mexicana,#N/A,,1,,"3,20","1,5",80,"1,3",No,p46.jpeg,https://drive.google.com/file/d/1HKSoK-yVvmKgXkupgnyMXRQfeEJCsUam/view?usp=sharing
47,Mecánica,"-12,072268","-77,080878","8664594,548","273492,298",Palmera enana,Phoenix roebelenii,,1,,"1,70",1,98,"1,2",No,p47.jpeg,https://drive.google.com/file/d/1MY4Wh1wDBUa2AmG1GSKcUXdFRi5GZivg/view?usp=sharing
48,Mecánica,"-12,072274","-77,080865","8664593,961","273493,674",Palmera enana,Phoenix roebelenii,,1,,"1,75",1,95,"1,4",No,p48.jpeg,https://drive.google.com/file/d/1xq5qn8YKZK2PmMRG7091HM1H3FFjSjxX/view?usp=sharing
49,Mecánica,"-12,072280","-77,080819","8664593,302","273498,689",Palmera de abánico mexicana,#N/A,,1,,"1,60",0,0,"0,6",No,p49.jpeg,https://drive.google.com/file/d/19_lq_z-iqKNoF43B7EkJcecVwIET_0EE/view?usp=sharing
50,Mecánica,"-12,072330","-77,080818","8664587,793","273498,840",Palmera de abánico mexicana,#N/A,,1,,"1,30",0,0,"0,5",No,p50.jpeg,https://drive.google.com/file/d/1jPYCJWX2Cb5JYSWE4sMdZG75g4xkXBVq/view?usp=sharing
51,Mecánica,"-12,072329","-77,080831","8664587,882","273497,489",Palmera de abánico mexicana,#N/A,,1,,"4,00","2,5",80,"0,7",No,p51.jpeg,https://drive.google.com/file/d/1nSC5-HiUYIAkep_77-nybgddLK4NONqd/view?usp=sharing
52,Mecánica,"-12,072351","-7,708083","8664585,370","273497,475",Palmera Canaria ,Phoenix canariensis,,1,,"7,70",4,171,"3,5",No,p52.jpeg,https://drive.google.com/file/d/1FpWKRsdWONarpFuLzWwDC1xPTRT8U70d/view?usp=sharing
53,Mecánica,"-12,072393","-77,080871","8664580,712","273493,122",Palmera Canaria ,Phoenix canariensis,,1,,"6,00","3,5",240,"4,2",No,p53.jpeg,https://drive.google.com/file/d/1DMXUwDE_mcjqkl26TmIT5rpw8IxsyFTI/view?usp=sharing
54,Mecánica,"-12,072397","-77,080938","8664580,237","273485,916",Palmera de abanico china,Livistona chinensis,,1,,"3,60","2,5",90,1,No,p54.jpeg,https://drive.google.com/file/d/1q2RVeVwNGxQUY8l4Za0-pCrV5b-Brdlq/view?usp=sharing
55,Mecánica,"-12,072414","-77,080844","8664578,456","273496,166",Palmera de abánico mexicana,#N/A,,1,,"4,50",3,92,"1,3",No,p55.jpeg,https://drive.google.com/file/d/1gGNV8aiA1N8AXJwlGCsLBy7EvgneTLEU/view?usp=sharing
56,Mecánica,"-12,072414","-77,080818","8664578,455","273498,976",Palmera de abánico mexicana,#N/A,,1,,"4,70",3.3,97,"1,2",No,p56.jpeg,https://drive.google.com/file/d/1ipMNFn7IHi_R0jKNVfSMNTf4Ga90JzWY/view?usp=sharing
57,Mecánica,"-12,072426","-77,080785","8664577,110","273502,558",Palmera de abánico mexicana,#N/A,,1,,"3,20",2,112,"0,9",No,p57.jpeg,https://drive.google.com/file/d/12YtqR3OnZ8PTk9O53De9D2XbF1B5twrZ/view?usp=sharing
58,Mecánica,"-12,072462","-77,080788","8664573,169","273502,283",Palmera de abánico mexicana,#N/A,,1,,"7,50",5,80,"0,9",No,p58.jpeg,https://drive.google.com/file/d/16ovqbs8f7L2TmpqBfnN17at14gJcHFdS/view?usp=sharing
59,Mecánica,"-12,072164","-77,080833","8664606,148","273497,132",Palmera de abánico mexicana,#N/A,,1,,"17,00",15,145,"1,7",No,p59.jpeg,https://drive.google.com/file/d/1XTwOscYQtlHGe-oxPAhnU2CMTR0lag73/view?usp=sharing
60,Mecánica,"-12,072196","-77,080692","8664602,635","273512,460",Palmera de Navidad,Adonidia merrillii,,1,,"4,50","3,2",30,"1,9",No,p60.jpeg,https://drive.google.com/file/d/13XXR-OACBKUiCd19Rig4dYCgYLqWAkga/view?usp=sharing
61,Mecánica,"-12,072190","-77,080717","8664603,290","273509,776",Palmera de abánico mexicana,#N/A,,1,,"11,00","8,5",150,"1,5",No,p61.jpeg,https://drive.google.com/file/d/1Ly9E6VYRHsC297-YuUIKpDucQNv_a5uA/view?usp=sharing
62,Mecánica,"-12,072195","-77,080707","8664602,756","273510,858",Palmera Canaria ,Phoenix canariensis,,1,,"7,50","3,8",176,"3,5",No,p62.jpeg,https://drive.google.com/file/d/1z2vO6Xw-UVoSsQdXwvIY14bqAAcvgIh3/view?usp=sharing
63,Mecánica,"-12,072251","-77,080713","8664596,599","273510,273",Palmera Canaria ,Phoenix canariensis,,1,,"9,00","4,5",230,"5,2",No,p63.jpeg,https://drive.google.com/file/d/16pLhXM0giaAXj5wVGftkDz8lKFk0zH_0/view?usp=sharing
64,Mecánica,"-12,072212","-77,080801","8664600,842","273500,635",Palmera de abánico mexicana,#N/A,,1,,"2,50","0,8",95,1,No,p64.jpeg,https://drive.google.com/file/d/1KV0NcjEoshA7mTA2iotg95YAf2_rvYhk/view?usp=sharing
65,Mecánica,"-12,072249","-77,080806","8664596,732","273500,090",Palmera de abanico costera,Thrinax radiata,,1,,"7,00","5,8",54,"1,8",No,p65.jpeg,https://drive.google.com/file/d/1a72zRN3xvA8dzgaqvWe2UPWJka7Cx6s1/view?usp=sharing
66,Mecánica,"-12,072264","-77,080714","8664595,093","273510,132",Palmera de abanico china,Livistona chinensis,,1,,"3,50","1,8",190,"1,5",No,p66.jpeg,https://drive.google.com/file/d/1iRwdUY4Er8DNuAfClgNNV5fIjnpMvJOF/view?usp=sharing
67,Mecánica,"-12,072330","-77,080741","8664587,868","273507,290",Palmera de abanico china,Livistona chinensis,,1,,"2,50","0,6",190,"1,5",No,p67.jpeg,https://drive.google.com/file/d/1mPFLnT_HqN3ZMoyB7cC6Z0GNRCbmMlod/view?usp=sharing
68,Mecánica,"-12,072331","-77,080736","8664587,751","273507,846",Palmera de abanico china,Livistona chinensis,,1,,"2,50","0,6",190,"1,5",No,p68.jpeg,https://drive.google.com/file/d/15ECqJccw5IANKx1toj1sLiY1GfcrRL9l/view?usp=sharing
69,Mecánica,"-12,072361","-77,080739","8664584,407","273507,556",Palmera de abanico china,Livistona chinensis,,1,,"2,50","0,6",190,"1,5",No,p69.jpeg,https://drive.google.com/file/d/16Y9ijasv-98k-NtRxW3QLSXIa1k8u1bO/view?usp=sharing
70,Mecánica,"-12,072322","-77,080669","8664588,813","273515,069",Palmera de abanico china,Livistona chinensis,,1,,"2,50","0,6",190,"1,5",No,p70.jpeg,https://drive.google.com/file/d/1f0I7IkD_tj56S5g0Pj9sVwbNWZ4i9vMu/view?usp=sharing
71,Mecánica,"-12,072398","-77,080718","8664580,297","273509,863",Palmera de Bismarck,Bismarckia nobilis,,1,,"2,50","0,7",55,"1,1",No,p71.jpeg,https://drive.google.com/file/d/1yFdAAjEAdoU4Ylae0uuwAs5BL-7ujong/view?usp=sharing
72,Mecánica,"-12,072380","-77,080698","8664582,283","273511,961",Palmera Canaria ,Phoenix canariensis,,1,,"8,00",4,110,"2,1",No,p72.jpeg,https://drive.google.com/file/d/1p_7wgneDg1lT2NTLFzB9MPjbEbUbCiIr/view?usp=sharing
73,Mecánica,"-12,072403","-77,080691","8664579,744","273512,764",Palmera de Bismarck,Bismarckia nobilis,,1,,"3,00","0,9",108,"1,5",No,p73.jpeg,https://drive.google.com/file/d/1dyXiGAR01TieyNCmYhtaoG9c4hBDvM2q/view?usp=sharing
74,Mecánica,"-12,072427","-77,080698","8664577,105","273512,076",Palmera de abánico mexicana,#N/A,,1,,"2,50","0,8",190,2,No,p74.jpeg,https://drive.google.com/file/d/1WUOIHpxiX7meLYs7v9iDKQL8M9gUZcqi/view?usp=sharing
75,Mecánica,"-12,072449","-77,080673","8664574,669","273514,752",Palmera de abánico mexicana,#N/A,,1,,"2,00","0,5",190,"1,5",No,p75.jpeg,https://drive.google.com/file/d/1YCaUG7UXtaOnpca54pKknXHrlFSNID5Q/view?usp=sharing
76,Mecánica,"-12,072303","-77,080732","8664590,796","273508,172",Palmera Canaria ,Phoenix canariensis,,1,,"14,50","9,5",270,"4,7",No,p76.jpeg,https://drive.google.com/file/d/1ym375M5vGi99Bpis8J69xZQ3qiokHYmV/view?usp=sharing
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,,,
